timestamp,d_q,d_v,d_p
29.300000,0.009200,0.049487,0.946617
29.400000,0.009200,0.050392,0.942347
29.500000,0.009200,0.051370,0.938208
29.600000,0.009200,0.052407,0.934220
29.700000,0.009200,0.053494,0.930402
29.800000,0.009200,0.054626,0.926773
29.900000,0.009200,0.055800,0.923354
30.000000,0.009200,0.057020,0.920163
30.100000,0.009200,0.058288,0.917220
30.200000,0.009200,0.059608,0.914543
30.300000,0.009200,0.060985,0.912149
30.400000,0.009200,0.062420,0.910057
30.500000,0.009200,0.063913,0.908283
30.600000,0.009200,0.065459,0.906843
30.700000,0.009200,0.067051,0.905753
30.800000,0.009200,0.068681,0.905028
30.900000,0.009200,0.070336,0.904679
31.000000,0.009200,0.072004,0.904721
31.100000,0.009200,0.073673,0.905164
31.200000,0.009200,0.075332,0.906017
31.300000,0.009200,0.076971,0.907290
31.400000,0.009200,0.078582,0.908988
31.500000,0.009200,0.080162,0.911118
31.600000,0.009200,0.081710,0.913683
31.700000,0.009200,0.083226,0.916685
31.800000,0.009200,0.084714,0.920125
31.900000,0.009200,0.086177,0.924002
32.000000,0.009200,0.087622,0.928314
32.100000,0.009200,0.089053,0.933055
32.200000,0.009200,0.090473,0.938222
32.300000,0.009200,0.091884,0.943808
32.400000,0.009200,0.093285,0.949804
32.500000,0.009200,0.094675,0.956202
32.600000,0.009200,0.096048,0.962991
32.700000,0.009200,0.097399,0.970160
32.800000,0.009200,0.098720,0.977697
32.900000,0.009200,0.100003,0.985590
33.000000,0.009200,0.101242,0.993824
33.100000,0.009200,0.102431,1.002384
33.200000,0.009200,0.103565,1.011256
33.300000,0.009200,0.104642,1.020423
33.400000,0.009200,0.105661,1.029869
33.500000,0.009200,0.106624,1.039577
33.600000,0.009200,0.107534,1.049528
33.700000,0.009200,0.108395,1.059706
33.800000,0.009200,0.109212,1.070093
33.900000,0.009200,0.109990,1.080670
34.000000,0.009200,0.110733,1.091419
34.100000,0.009200,0.111443,1.102321
34.200000,0.009200,0.112121,1.113360
34.300000,0.009200,0.112765,1.124516
34.400000,0.009200,0.113374,1.135772
34.500000,0.009200,0.113944,1.147111
34.600000,0.009200,0.114468,1.158514
34.700000,0.009200,0.114941,1.169966
